informed_frac,mode,qid,seed,accuracy,manip_drift
0.25,unconstrained,year_gap,2,0.9274252873563219,0.16127713920817352
0.25,unconstrained,pct_share,0,0.8251249999999999,0.15897727272727286
0.25,unconstrained,pct_share,1,0.8999999999999999,0.09090909090909095
0.25,unconstrained,pct_share,2,0.9203194444444445,0.07243686868686863
0.25,unconstrained,count_k,0,0.88540234375,0.1909960937499999
0.25,unconstrained,count_k,1,0.9029316406249999,0.16178059895833352
0.25,unconstrained,count_k,2,0.914232421875,0.1429459635416667
0.4,governed,dist_km,0,0.988343023255814,-0.014571220930232526
0.4,governed,dist_km,1,0.9786686046511628,-0.02666424418604655
0.4,governed,dist_km,2,0.9872465116279069,0.01594186046511639
0.4,governed,year_gap,0,0.9318908045977011,0.1513537675606641
0.4,governed,year_gap,1,0.9406724137931035,0.13183908045976986
0.4,governed,year_gap,2,0.990132183908046,-0.021928480204342078
0.4,governed,pct_share,0,0.9997638888888889,-0.000214646464646413
0.4,governed,pct_share,1,1.0,0.0
0.4,governed,pct_share,2,0.9744305555555555,0.023244949494949603
0.4,governed,count_k,0,0.9727724609375,-0.04537923177083328
0.4,governed,count_k,1,0.9846669921875,-0.025555013020833364
0.4,governed,count_k,2,0.9504511718750002,0.08258138020833304
0.4,unconstrained,dist_km,0,0.9036953488372093,0.12038081395348837
0.4,unconstrained,dist_km,1,0.9755813953488373,0.030523255813953487
0.4,unconstrained,dist_km,2,0.9520023255813953,0.05999709302325584
0.4,unconstrained,year_gap,0,0.870942528735632,0.28679438058748424
0.4,unconstrained,year_gap,1,0.9043103448275862,0.2126436781609196
0.4,unconstrained,year_gap,2,0.9927643678160919,0.016079182630906956
0.4,unconstrained,pct_share,0,0.875,0.11363636363636365
0.4,unconstrained,pct_share,1,0.9527777777777777,0.042929292929293004
0.4,unconstrained,pct_share,2,0.9404861111111111,0.05410353535353532
0.4,unconstrained,count_k,0,0.92339453125,0.12767578124999993
0.4,unconstrained,count_k,1,0.9738447265625001,0.04359212239583317
0.4,unconstrained,count_k,2,0.9283515625000001,0.11941406249999988
0.55,governed,dist_km,0,0.953167441860465,-0.058540697674418704
0.55,governed,dist_km,1,0.9943244186046512,-0.007094476744186006
0.55,governed,dist_km,2,0.9887116279069766,-0.014110465116279192
0.55,governed,year_gap,0,0.9355977011494253,0.14311621966794366
0.55,governed,year_gap,1,0.9449597701149426,0.12231162196679436
0.55,governed,year_gap,2,0.9843563218390804,0.034763729246487976
0.55,governed,pct_share,0,0.9789583333333334,-0.019128787878787887
0.55,governed,pct_share,1,0.9963611111111111,0.003308080808080814
0.55,governed,pct_share,2,0.9967916666666667,0.0029166666666665983
0.55,governed,count_k,0,0.97158203125,-0.04736328125000003
0.55,governed,count_k,1,0.9937900390625001,0.010349934895833208
0.55,governed,count_k,2,0.9957431640625,-0.0070947265625000595
0.55,unconstrained,dist_km,0,0.9787337209302326,0.026582848837209284
0.55,unconstrained,dist_km,1,0.9781232558139534,0.027345930232558255
0.55,unconstrained,dist_km,2,0.9905813953488372,0.01177325581395352
0.55,unconstrained,year_gap,0,0.8954022988505748,0.23243933588761162
0.55,unconstrained,year_gap,1,0.9146206896551724,0.18973180076628346
0.55,unconstrained,year_gap,2,0.9515114942528735,0.10775223499361446
0.55,unconstrained,pct_share,0,0.9525,0.04318181818181821
0.55,unconstrained,pct_share,1,0.9652777777777778,0.03156565656565657
0.55,unconstrained,pct_share,2,0.9725972222222222,0.024911616161616152
0.55,unconstrained,count_k,0,0.9854677734375001,0.024220377604166433
0.55,unconstrained,count_k,1,0.9361455078124998,0.1064241536458336
0.55,unconstrained,count_k,2,0.9824091796875001,0.029318033854166533
0.7,governed,dist_km,0,0.9667697674418605,-0.04153779069767438
0.7,governed,dist_km,1,0.9659267441860465,-0.042591569767441856
0.7,governed,dist_km,2,0.9893267441860465,-0.013341569767441823
0.7,governed,year_gap,0,0.948971264367816,0.11339719029374226
0.7,governed,year_gap,1,0.9571264367816091,0.09527458492975745
0.7,governed,year_gap,2,0.9897471264367816,0.022784163473818543
0.7,governed,pct_share,0,0.9759166666666665,-0.02189393939393951
0.7,governed,pct_share,1,0.9981666666666666,0.00166666666666673
0.7,governed,pct_share,2,0.9809027777777778,0.017361111111111112
0.7,governed,count_k,0,0.97240625,-0.04598958333333328
