lang,mode,qid,seed,accuracy_mean,manip_drift_mean
Spanish,unconstrained,year_gap,2,0.8808925287356321,0.2646832694763731
Spanish,unconstrained,year_gap,3,0.9321149425287357,0.15085568326947615
Catalan,governed,dist_km,0,0.9128790697674419,-0.10890116279069764
Catalan,governed,dist_km,1,0.9657332558139535,-0.04283343023255807
Catalan,governed,dist_km,2,0.9957256976744184,-0.005342877906977011
Catalan,governed,dist_km,3,0.9157258139534884,0.10534273255813945
Catalan,governed,year_gap,0,0.843056896551724,0.34876245210728
Catalan,governed,year_gap,1,0.8841994252873563,0.25733461047254164
Catalan,governed,year_gap,2,0.9628396551724139,0.08257854406130238
Catalan,governed,year_gap,3,0.9702764367816092,-0.06605236270753505
Catalan,unconstrained,dist_km,0,0.9246208139534884,0.09422398255813953
Catalan,unconstrained,dist_km,1,0.9205831395348836,0.0992710755813955
Catalan,unconstrained,dist_km,2,0.9089172093023257,0.11385348837209297
Catalan,unconstrained,dist_km,3,0.7746415116279071,0.28169811046511617
Catalan,unconstrained,year_gap,0,0.7530660919540229,0.5487420178799493
Catalan,unconstrained,year_gap,1,0.8236678160919539,0.3918492975734356
Catalan,unconstrained,year_gap,2,0.8790885057471264,0.26869220945083017
Catalan,unconstrained,year_gap,3,0.9262908045977012,0.16379821200510858
French,governed,dist_km,0,0.9428338372093023,-0.07145770348837215
French,governed,dist_km,1,0.9660994186046513,-0.04237572674418586
French,governed,dist_km,2,0.9906715116279072,-0.011660610465116001
French,governed,dist_km,3,0.912069418604651,0.10991322674418627
French,governed,year_gap,0,0.855416091954023,0.3212975734355045
French,governed,year_gap,1,0.9027327586206897,0.21614942528735626
French,governed,year_gap,2,0.9660132183908046,0.07552618135376764
French,governed,year_gap,3,0.988201724137931,-0.026218390804597987
French,unconstrained,dist_km,0,0.9088302325581396,0.1139622093023255
French,unconstrained,dist_km,1,0.9010583720930233,0.12367703488372088
French,unconstrained,dist_km,2,0.9199366279069767,0.10007921511627911
French,unconstrained,dist_km,3,0.7830093023255813,0.27123837209302337
French,unconstrained,year_gap,0,0.7630166666666666,0.5266296296296299
French,unconstrained,year_gap,1,0.8158816091954023,0.4091519795657726
French,unconstrained,year_gap,2,0.8701327586206895,0.2885938697318012
French,unconstrained,year_gap,3,0.9231844827586208,0.17070114942528714
Italian,governed,dist_km,0,0.9113837209302327,-0.1107703488372092
Italian,governed,dist_km,1,0.9688809302325582,-0.03889883720930226
Italian,governed,dist_km,2,0.977419534883721,0.02822558139534874
Italian,governed,dist_km,3,0.9193163953488372,0.1008545058139534
Italian,governed,year_gap,0,0.8442258620689657,0.34616475095785415
Italian,governed,year_gap,1,0.8945632183908048,0.23430395913154503
Italian,governed,year_gap,2,0.9557850574712642,0.09825542784163506
Italian,governed,year_gap,3,0.9928931034482759,-0.01579310344827599
Italian,unconstrained,dist_km,0,0.9090716279069767,0.11366046511627906
Italian,unconstrained,dist_km,1,0.9194218604651163,0.10072267441860462
Italian,unconstrained,dist_km,2,0.8956537209302324,0.13043284883720946
Italian,unconstrained,dist_km,3,0.7779266279069769,0.27759171511627895
Italian,unconstrained,year_gap,0,0.7624431034482758,0.5279042145593871
Italian,unconstrained,year_gap,1,0.8215522988505746,0.3965504469987233
Italian,unconstrained,year_gap,2,0.8725385057471264,0.2832477650063858
Italian,unconstrained,year_gap,3,0.930194827586207,0.15512260536398456
Portuguese,governed,dist_km,0,0.9410402325581395,-0.07369970930232567
Portuguese,governed,dist_km,1,0.9676840697674417,-0.040394912790697825
Portuguese,governed,dist_km,2,0.9954544186046511,-0.005681976744186127
Portuguese,governed,dist_km,3,0.9204688372093025,0.09941395348837191
Portuguese,governed,year_gap,0,0.853667816091954,0.32518263090676897
Portuguese,governed,year_gap,1,0.9048195402298851,0.21151213282247755
Portuguese,governed,year_gap,2,0.9669051724137931,0.07354406130268197
Portuguese,governed,year_gap,3,0.9899913793103449,-0.022241379310344856
Portuguese,unconstrained,dist_km,0,0.8952815116279069,0.13089811046511632
Portuguese,unconstrained,dist_km,1,0.9062377906976744,0.11720276162790695
Portuguese,unconstrained,dist_km,2,0.878136511627907,0.15232936046511625
Portuguese,unconstrained,dist_km,3,0.7567989534883723,0.30400130813953463
Portuguese,unconstrained,year_gap,0,0.761794827586207,0.5293448275862069
Portuguese,unconstrained,year_gap,1,0.829871264367816,0.3780638569604089
Portuguese,unconstrained,year_gap,2,0.8748034482758621,0.27821455938697315
Portuguese,unconstrained,year_gap,3,0.9180477011494252,0.18211621966794392
German,governed,dist_km,0,0.9445903488372092,-0.0692620639534885
German,governed,dist_km,1,0.9597651162790697,-0.05029360465116292
German,governed,dist_km,2,0.993082093023256,-0.008647383720930022
German,governed,dist_km,3,0.8099486046511629,0.23756424418604638
German,governed,year_gap,0,0.8549201149425287,0.3223997445721583
German,governed,year_gap,1,0.9126758620689654,0.19405363984674331
German,governed,year_gap,2,0.960387356321839,0.08802809706258002
German,governed,year_gap,3,0.9900183908045974,-0.022181353767561238
German,unconstrained,dist_km,0,0.9334889534883721,0.0831388081395348
German,unconstrained,dist_km,1,0.9411980232558139,0.07350247093023257
German,unconstrained,dist_km,2,0.9016733720930235,0.12290828488372069
German,unconstrained,dist_km,3,0.7767104651162791,0.2791119186046512
German,unconstrained,year_gap,0,0.7630534482758622,0.5265478927203062
German,unconstrained,year_gap,1,0.8245229885057472,0.3899489144316729
German,unconstrained,year_gap,2,0.8857034482758621,0.25399233716475084
German,unconstrained,year_gap,3,0.9362890804597701,0.1415798212005109
